Versi 1,Versi 2,Versi 3
Le margherite,"sbocciano nel cespuglio,",per appassire
Le foglie brune,"cadono lente, morte,",per rinascere
Il cor mio batte,Il vento soffia forte,Amata estate
Nuvole scure,Pioggia incombe su di noi,Grigio inverno
Mio verde prato,Primavera fiorente,Natura nostra
Rane cantano,Animali felici,Terra bagnata
Alberi curvi,Api lavoratrici,Tra fiori freschi
Pesci nuotano,Leoni dominano,Squali regnano
La libellula.,Percepisco i profumi,mi tuffo nel mar
Le foglie secche,che cadono per terra,"nell’ infinito"
"Il ronzio d’api",l’azzurro è nel cielo;,corro nel vento
Fiocca la neve,son coperte le strade,il cuor gelato
Un vecchio pruno,il vento soffia su noi,"addio, estate"
Nella liguria,limoni di Montale,profumano il cor